"created"	"state"	"total"	"total_char"	"active_rate"	"processid"	"app_name"	"category"	"title"	"file_name"
"2019/08/31 10:32"	"BROWSING"	"176"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:33"	"BROWSING"	"142"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:34"	"BROWSING"	"97"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:35"	"BROWSING"	"89"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:36"	"BROWSING"	"162"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:37"	"BROWSING"	"239"	"0"	"0.9"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:38"	"BROWSING"	"145"	"0"	"1"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:39"	"BROWSING"	"172"	"0"	"0.6"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:40"	"BROWSING"	"10"	"0"	"0.5"	"15676"	"microsoft edge"	"browser"	"New tab ‎- Microsoft Edge"	""
"2019/08/31 10:41"	"BROWSING"	"7"	"0"	"0.5"	"15676"	"microsoft edge"	"browser"	"Memoru ‎- Microsoft Edge"	""
"2019/08/31 10:42"	"BROWSING"	"9"	"0"	"0.8"	"15676"	"microsoft edge"	"browser"	"Design Settings - Hatena Blog ‎- Microsoft Edge"	""
"2019/08/31 10:43"	"BROWSING"	"5"	"0"	"0.4"	"15676"	"microsoft edge"	"browser"	"1908-powershell-datetime - Memoru ‎- Microsoft Edge"	""
"2019/08/31 10:44"	"BROWSING"	"105"	"0"	"0.4"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:45"	"BROWSING"	"7"	"0"	"0.9"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:46"	"BROWSING"	"232"	"0"	"1"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:47"	"BROWSING"	"145"	"0"	"1"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:48"	"BROWSING"	"132"	"0"	"0.9"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:49"	"BROWSING"	"554"	"0"	"1"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:50"	"BROWSING"	"117"	"0"	"1"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:51"	"BROWSING"	"206"	"0"	"1"	"348"	"powershell_ise"	"terminal"	"Windows PowerShell ISE"	""
"2019/08/31 10:52"	"BROWSING"	"45"	"0"	"0.8"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:53"	"BROWSING"	"61"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:54"	"BROWSING"	"23"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:55"	"BROWSING"	"110"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
