created	start_time	processid	appname	category	title
2019/08/21 05:58:54	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:00	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:06	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:12	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:18	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:24	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:30	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:36	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:43	2019/08/21 05:42	7164	explorer	filer	
2019/08/21 05:59:49	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:59:55	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 06:00:01	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 06:00:07	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 06:00:13	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 06:00:19	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 06:00:25	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
